,peak,pred_0,prob_0,pred_1,prob_1,pred_2,prob_2
62,2.55929,beta-Alanine,0.8484359979629517,Methylamine,0.1514841467142105,Methionine,4.1903320379788056e-05
63,2.56341,beta-Alanine,0.9997552037239075,Methylamine,0.00023571326164528728,O-Acetylcarnitine,6.901962024130626e-06
64,2.64285,Aspartate,0.3419110178947449,Methionine,0.3254072964191437,Methylamine,0.2656572163105011
65,2.65084,Dimethylamine,0.9189812541007996,Methylamine,0.05341560021042824,Aspartate,0.007773854769766331
66,2.65893,Dimethylamine,0.7398751974105835,Aspartate,0.2075222134590149,Homocysteine,0.01478924322873354
67,2.88657,Trimethylamine,0.9837833046913147,Asparagine,0.014117191545665264,"N,N-Dimethylglycine",0.0007720775902271271
68,2.94366,Asparagine,0.4816618263721466,Tyramine,0.37261247634887695,N-Methylhydantoin,0.07604342699050903
69,2.95223,Tyramine,0.5897585153579712,Asparagine,0.3232593238353729,"N,N-Dimethylglycine",0.05640574172139168
70,2.97207,Tyramine,0.8102239966392517,Asparagine,0.10441416501998901,Tyrosine,0.06999320536851883
71,2.978,Tyrosine,0.5161728858947754,Tyramine,0.39059576392173767,Asparagine,0.049359191209077835
72,3.02146,Tyrosine,0.5890740156173706,Creatine phosphate,0.1757165491580963,Lysine,0.08830827474594116
73,3.03035,Creatinine,0.518461287021637,Ornithine,0.43746092915534973,Creatine phosphate,0.017945708706974983
74,3.03731,Creatine,0.9873758554458618,Creatinine,0.011516905389726162,Creatine phosphate,0.0005263822386041284
75,3.04284,Creatine,0.9920250177383423,Putrescine,0.003765409579500556,Creatinine,0.0031593756284564734
76,3.17702,beta-Alanine,0.9990666508674622,O-Acetylcarnitine,0.0004970725858584046,Choline,0.0002929535985458642
77,3.18486,beta-Alanine,0.9348630309104919,O-Acetylcarnitine,0.040285009890794754,Choline,0.020913125947117805
78,3.19278,beta-Alanine,0.9937241673469543,O-Phosphocholine,0.0035156351514160633,Choline,0.001856536022387445
79,3.20196,O-Phosphocholine,0.5262815952301025,Choline,0.20896615087985992,sn-Glycero-3-phosphocholine,0.14615203440189362
80,3.21934,sn-Glycero-3-phosphocholine,0.515082061290741,O-Phosphocholine,0.42070212960243225,Arginine,0.036983903497457504
81,3.22806,Arginine,0.97422194480896,O-Acetylcholine,0.018427405506372452,sn-Glycero-3-phosphocholine,0.006655677687376738
82,3.23702,Glucose,0.6648531556129456,Arginine,0.23880426585674286,Trimethylamine N-oxide,0.06362513452768326
83,3.24629,Glucose,0.9832839965820312,Betaine,0.012719410471618176,Trimethylamine N-oxide,0.0024270860012620687
84,3.24809,Glucose,0.9940271377563477,Betaine,0.0037834583781659603,Trimethylamine N-oxide,0.0012994270073249936
85,3.25353,Taurine,0.9999982118606567,Trimethylamine N-oxide,7.902695529082848e-07,Betaine,4.963845867678174e-07
86,3.25743,Glucose,0.8729221224784851,Trimethylamine N-oxide,0.11445803195238113,Betaine,0.011074593290686607
87,3.26128,Taurine,0.9999963045120239,Trimethylamine N-oxide,1.9026442714675795e-06,Betaine,6.57209000110015e-07
88,3.26912,Taurine,0.9999966621398926,Trimethylamine N-oxide,1.911637127705035e-06,Glucose,2.772626714886428e-07
89,3.28264,Phenylalanine,0.609846830368042,myo-Inositol,0.19838538765907288,Proline,0.04445815086364746
90,3.35524,Methanol,0.9788386225700378,Glucose,0.020061569288372993,Proline,0.000772067520301789
91,3.36241,Methanol,0.6726070642471313,Taurine,0.19666621088981628,Proline,0.1257399171590805
92,3.37131,Glucose,0.9976287484169006,Methanol,0.0022266453597694635,Proline,8.534333028364927e-05
93,3.39587,Glucose,0.9999692440032959,Propylene_glycol,1.7193076928379014e-05,Arginine,2.825955562002491e-06
94,3.40695,Glucose,0.9998778104782104,Propylene_glycol,9.703474643174559e-05,Tryptophan,9.792677701625507e-06
95,3.4159,Taurine,0.9999970197677612,beta-Alanine,9.491565151620307e-07,Propylene_glycol,7.88409295182646e-07
96,3.41835,Glucose,0.9990153312683105,Propylene_glycol,0.0009127537487074733,Betaine,2.5109669877565466e-05
97,3.42372,Taurine,0.9999908208847046,Propylene_glycol,5.239211532170884e-06,beta-Alanine,8.568330258640344e-07
98,3.43145,Taurine,0.999990701675415,beta-Alanine,3.9213728086906485e-06,Propylene_glycol,1.4832769466011086e-06
99,3.46335,Tryptophan,0.8375046253204346,Glucose,0.08497411012649536,Propylene_glycol,0.07504132390022278
100,3.46587,Tryptophan,0.9630196690559387,Glucose,0.02516285702586174,Propylene_glycol,0.011072211898863316
101,3.46759,Glucose,0.9974632263183594,Tryptophan,0.0022686119191348553,Propylene_glycol,0.00020448742725420743
102,3.4751,Tryptophan,0.8327341079711914,Glucose,0.14058314263820648,Propylene_glycol,0.025548942387104034
103,3.47944,Glucose,0.9911182522773743,Tryptophan,0.008110729977488518,Propylene_glycol,0.0005033121560700238
104,3.4818,Glucose,0.999390721321106,Tryptophan,0.0005398730281740427,Propylene_glycol,2.160476469725836e-05
105,3.49261,Glucose,0.9985852241516113,Tryptophan,0.0013572941534221172,myo-Inositol,1.8020986317424104e-05
106,3.50349,Glucose,0.9816411733627319,Tryptophan,0.009325740858912468,myo-Inositol,0.005530005320906639
107,3.53088,Glucose,0.9959321618080139,myo-Inositol,0.0016774681862443686,Glycerol,0.001515522482804954
108,3.53482,Glucose,0.9994039535522461,Glycerol,0.0002806176489684731,myo-Inositol,0.00015024820459075272
109,3.5426,Glucose,0.9948904514312744,myo-Inositol,0.004105216823518276,Phenylacetate,0.0005207431968301535
